DI,StructuralIntegrity,ExteriorCharm
0,6,Common
1,5,Common
2,7,Common
3,5,Common
4,8,Common
5,5,Gleaming
6,5,Common
7,5,Common
8,5,Gleaming
9,6,Common
10,5,Common
11,5,Gleaming
12,5,Gleaming
13,5,Enchanting
14,7,Common
15,5,Gleaming
16,5,Common
17,5,Common
18,6,Common
19,5,Gleaming
20,8,Common
21,7,Common
22,7,Common
23,5,Common
24,6,Common
25,4,Common
26,8,Gleaming
27,8,Common
28,5,Common
29,6,Common
30,5,Common
31,6,Common
32,5,Gleaming
33,5,Gleaming
34,7,Common
35,5,Gleaming
36,5,Gleaming
37,8,Common
38,5,Common
39,5,Common
40,5,Common
41,7,Common
42,7,Common
43,5,Gleaming
44,5,Gleaming
45,9,Gleaming
46,4,Common
47,5,Common
48,5,Enchanting
49,5,Common
50,5,Common
51,5,Common
52,5,Common
53,5,Gleaming
54,5,Gleaming
55,5,Gleaming
56,7,Common
57,8,Common
58,5,Common
59,5,Gleaming
60,5,Common
61,6,Gleaming
62,8,Common
63,5,Gleaming
64,7,Common
65,2,Common
66,6,Gleaming
67,7,Common
68,5,Gleaming
69,5,Common
70,5,Gleaming
71,6,Common
72,4,Common
73,5,Enchanting
74,5,Common
75,4,Modest
76,3,Common
77,7,Common
78,5,Common
78,5,Common
79,8,Common
80,5,Gleaming
81,5,Gleaming
82,5,Common
83,5,Gleaming
84,7,Common
85,6,Common
85,6,Common
86,5,Enchanting
87,6,Common
88,9,Gleaming
89,6,Common
90,8,Common
91,5,Gleaming
92,6,Common
93,6,Common
94,6,Common
94,6,Common
95,6,Common
96,5,Gleaming
97,6,Common
98,7,Common
99,5,Gleaming
100,5,Gleaming
101,5,Gleaming
102,4,Common
103,5,Enchanting
104,5,Gleaming
105,7,Common
106,5,Gleaming
107,5,Gleaming
108,7,Common
109,6,Common
110,6,Common
111,5,Common
112,6,Common
113,7,Common
114,5,Common
115,5,Gleaming
116,4,Gleaming
117,6,Common
118,8,Common
119,4,Common
120,5,Gleaming
121,5,Gleaming
122,8,Enchanting
123,6,Common
124,9,Common
125,5,Common
126,9,Gleaming
127,5,Gleaming
128,6,Common
129,5,Common
130,5,Gleaming
131,5,Enchanting
132,7,Common
133,5,Gleaming
134,5,Common
135,5,Gleaming
136,6,Common
137,5,Enchanting
138,6,Gleaming
139,5,Common
140,9,Gleaming
141,5,Gleaming
142,5,Common
143,5,Gleaming
144,6,Common
145,7,Gleaming
146,6,Common
147,5,Common
148,8,Common
149,5,Common
150,5,Gleaming
151,5,Gleaming
152,5,Gleaming
153,5,Gleaming
154,3,Common
155,5,Gleaming
156,4,Common
157,5,Enchanting
158,5,Gleaming
159,7,Common
160,7,Common
161,3,Common
162,7,Common
163,5,Common
164,5,Gleaming
165,5,Common
166,5,Gleaming
167,4,Common
168,5,Enchanting
169,8,Gleaming
170,5,Common
171,5,Gleaming
172,5,Gleaming
173,5,Common
174,5,Gleaming
175,5,Gleaming
176,5,Gleaming
177,5,Gleaming
178,5,Gleaming
179,6,Common
180,5,Common
181,7,Common
182,7,Common
183,5,Gleaming
184,5,Common
185,8,Common
186,7,Gleaming
187,5,Common
188,7,Common
189,9,Enchanting
190,5,Gleaming
191,5,Gleaming
192,6,Common
193,5,Common
194,5,Gleaming
195,5,Gleaming
196,6,Common
197,6,Common
198,6,Common
199,6,Common
200,5,Common
201,5,Enchanting
202,6,Common
203,5,Gleaming
204,6,Common
205,5,Common
206,5,Gleaming
207,6,Common
208,5,Common
209,5,Gleaming
210,5,Common
211,5,Gleaming
212,6,Common
213,7,Gleaming
214,6,Common
215,6,Common
216,5,Gleaming
217,5,Gleaming
218,7,Common
219,5,Gleaming
220,5,Gleaming
221,7,Gleaming
222,5,Enchanting
223,5,Gleaming
224,5,Gleaming
225,5,Common
226,5,Gleaming
227,5,Enchanting
228,9,Common
229,7,Gleaming
230,5,Gleaming
231,5,Enchanting
232,7,Common
233,5,Common
234,6,Common
235,5,Gleaming
236,5,Common
237,5,Gleaming
238,7,Common
239,5,Common
240,5,Common
241,7,Common
242,5,Gleaming
243,6,Common
244,5,Common
245,5,Common
246,9,Enchanting
247,5,Common
248,7,Common
249,6,Common
250,5,Enchanting
251,5,Common
252,6,Common
253,6,Common
254,5,Common
255,5,Gleaming
256,7,Common
257,7,Common
258,4,Common
259,5,Gleaming
260,5,Gleaming
261,7,Common
262,5,Common
263,6,Gleaming
264,5,Gleaming
265,6,Common
266,5,Gleaming
267,6,Common
268,5,Gleaming
269,8,Common
270,5,Common
271,4,Common
272,5,Gleaming
273,5,Gleaming
274,5,Gleaming
275,6,Common
