DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm
0,125000.0,4,16,1032.0,9280.0,sqft,6,Common
1,250000.0,4,14,1933.0,11170.0,sqft,5,Common
2,130000.0,3,13,1012.0,5500.0,sqft,7,Common
3,157500.0,4,6,843.0,13014.0,sqft,5,Common
4,156000.0,4,3,807.0,8092.0,sqft,8,Common
7,137900.0,4,1,1119.0,2349.0,sqft,5,Common
8,298751.0,4,14,1329.0,11449.0,sqft,5,Gleaming
10,170000.0,4,11,938.0,13001.0,sqft,5,Common
11,195400.0,4,21,929.0,6762.0,sqft,5,Gleaming
12,172000.0,4,0,1075.0,7175.0,sqft,5,Gleaming
14,139500.0,4,2,775.0,12518.0,sqft,7,Common
15,225000.0,4,0,1725.0,13474.0,sqft,5,Gleaming
16,122000.0,4,16,1063.0,15635.0,sqft,5,Common
18,108480.0,4,13,825.0,5400.0,sqft,6,Common
19,240000.0,4,26,1213.0,13253.0,sqft,5,Gleaming
20,129800.0,4,3,627.0,8550.0,sqft,8,Common
21,129000.0,4,3,719.0,5868.0,sqft,7,Common
22,107500.0,4,16,1036.0,6999.9902119,sqft,7,Common
23,90000.0,4,3,799.0,7200.0,sqft,5,Common
24,178900.0,4,3,1161.0,9680.0,sqft,6,Common
25,131500.0,4,6,799.0,11625.0,sqft,4,Common
26,109500.0,4,13,609.0,9022.0,sqft,8,Gleaming
27,135000.0,3,13,1068.0,3378.0,sqft,8,Common
29,93900.0,3,25,839.0,1495.0,sqft,6,Common
30,160000.0,4,5,1303.0,10147.0,sqft,5,Common
31,135000.0,3,13,1283.0,9600.0,sqft,6,Common
32,200000.0,4,21,992.0,6762.0,sqft,5,Gleaming
33,228000.0,4,21,1224.0,11927.0,sqft,5,Gleaming
34,139400.0,3,10,852.0,7449.0,sqft,7,Common
36,189000.0,4,0,1419.0,11218.0,sqft,5,Gleaming
37,179900.0,4,3,973.0,9350.0,sqft,8,Common
38,157000.0,4,19,825.0,5500.0,sqft,5,Common
40,158000.0,4,0,890.0,13072.0,sqft,5,Common
41,119000.0,3,13,618.0,7200.0,sqft,7,Common
42,141500.0,4,3,687.0,7436.0,sqft,7,Common
43,225000.0,4,21,1241.0,9316.0,sqft,5,Gleaming
44,240000.0,4,2,1315.0,12118.0,sqft,5,Gleaming
45,168000.0,3,13,1339.0,17671.0,sqft,9,Gleaming
46,172000.0,4,2,1513.0,11075.0,sqft,4,Common
49,124100.0,4,6,784.0,9316.0,sqft,5,Common
50,140000.0,4,3,1047.0,9450.0,sqft,5,Common
51,145100.0,4,3,993.0,10500.0,sqft,5,Common
52,169000.0,4,3,1382.0,11765.0,sqft,5,Common
53,279500.0,4,7,1634.0,10990.0,sqft,5,Gleaming
54,275000.0,4,21,1876.0,12728.0,sqft,5,Gleaming
55,322400.0,4,17,1303.0,11825.0,sqft,5,Gleaming
56,178000.0,4,11,1436.0,12090.0,sqft,7,Common
57,138500.0,4,0,1111.0,14235.0,sqft,8,Common
58,96500.0,4,22,606.0,10594.0,sqft,5,Common
59,225000.0,4,0,1162.0,11454.0,sqft,5,Gleaming
60,147000.0,4,3,1056.0,11382.0,sqft,5,Common
61,228500.0,4,0,1524.0,11287.0,sqft,6,Gleaming
62,114000.0,4,13,891.0,7506.0,sqft,8,Common
63,192000.0,4,4,976.0,3182.0,sqft,5,Gleaming
66,227875.0,0,26,1354.0,10207.0,sqft,6,Gleaming
67,114000.0,3,13,947.0,4571.0,sqft,7,Common
68,155835.0,4,21,1119.0,11103.0,sqft,5,Gleaming
69,142000.0,4,3,808.0,9600.0,sqft,5,Common
70,250000.0,0,26,1506.0,10625.0,sqft,5,Gleaming
71,122000.0,4,21,745.0,10356.0,sqft,6,Common
72,87500.0,4,3,799.0,8544.0,sqft,4,Common
74,146000.0,4,0,903.0,13072.0,sqft,5,Common
75,122000.0,3,13,1453.0,10120.0,sqft,4,Modest
76,76000.0,2,0,603.0,9000.0,sqft,3,Common
77,185000.0,4,11,1238.0,11358.0,sqft,7,Common
78,80000.0,4,16,725.0,11515.0,sqft,5,Common
79,160000.0,2,19,1483.0,7082.0,sqft,8,Common
80,263000.0,0,26,1610.0,9375.0,sqft,5,Gleaming
81,192500.0,4,0,1279.0,12774.0,sqft,5,Gleaming
84,124000.0,3,20,930.0,5000.0,sqft,7,Common
86,282500.0,4,17,1203.0,5911.0,sqft,5,Enchanting
89,98500.0,4,16,919.0,8741.0,sqft,6,Common
90,112000.0,4,20,621.0,5175.0,sqft,8,Common
91,301500.0,4,7,1528.0,14303.0,sqft,5,Gleaming
92,143195.0,4,21,827.0,9216.0,sqft,6,Common
93,128500.0,3,13,1063.0,12358.0,sqft,6,Common
94,164500.0,4,11,1026.0,10140.0,sqft,6,Common
95,131000.0,4,3,775.0,6860.0,sqft,6,Common
96,187000.0,4,21,1153.0,12438.0,sqft,5,Gleaming
98,119000.0,3,13,962.0,6900.0,sqft,7,Common
99,290000.0,0,26,1091.0,4385.0,sqft,5,Gleaming
100,239686.0,4,2,1653.0,12822.0,sqft,5,Gleaming
101,210000.0,4,21,1089.0,8750.0,sqft,5,Gleaming
102,155000.0,4,22,979.0,14680.0,sqft,4,Common
104,201000.0,4,0,1323.0,8462.0,sqft,5,Gleaming
105,158500.0,4,11,840.0,10738.0,sqft,7,Common
106,180000.0,0,26,1163.0,2998.0,sqft,5,Gleaming
107,185088.0,4,5,1333.0,8577.0,sqft,5,Gleaming
108,255000.0,4,24,1863.0,12671.0,sqft,7,Common
111,153337.0,4,0,941.0,7018.0,sqft,5,Common
112,163000.0,4,3,969.0,9120.0,sqft,6,Common
113,116000.0,4,16,961.0,8248.0,sqft,7,Common
115,270000.0,4,21,1286.0,11354.0,sqft,5,Gleaming
116,87500.0,3,13,1161.0,9600.0,sqft,4,Gleaming
117,144000.0,3,13,1299.0,8850.0,sqft,6,Common
118,127000.0,4,6,799.0,6897.0,sqft,8,Common
120,229000.0,4,16,1779.0,11060.0,sqft,5,Gleaming
121,285000.0,4,2,1386.0,9892.0,sqft,5,Gleaming
122,176500.0,4,3,1087.0,11029.0,sqft,8,Enchanting
123,148500.0,4,1,811.0,2529.0,sqft,6,Common
124,161000.0,3,13,1059.0,9600.0,sqft,9,Common
125,135000.0,4,3,1233.0,8267.0,sqft,5,Common
126,156500.0,4,13,1299.0,7200.0,sqft,9,Gleaming
127,188500.0,4,15,1028.0,5950.0,sqft,5,Gleaming
128,157900.0,4,3,1109.0,9750.0,sqft,6,Common
129,195500.0,4,5,1233.0,9535.0,sqft,5,Common
130,257500.0,4,26,1275.0,10206.0,sqft,5,Gleaming
132,157500.0,4,3,750.0,9360.0,sqft,7,Common
134,157000.0,4,3,1103.0,10200.0,sqft,5,Common
136,132500.0,3,20,1086.0,6000.0,sqft,6,Common
137,314813.0,4,17,1406.0,11694.0,sqft,5,Enchanting
138,120000.0,3,13,789.0,5400.0,sqft,6,Gleaming
139,166000.0,4,3,1070.0,11900.0,sqft,5,Common
140,234000.0,4,22,1599.0,10918.0,sqft,9,Gleaming
141,165000.0,0,26,1063.0,2651.0,sqft,5,Gleaming
142,126500.0,4,3,819.0,8892.0,sqft,5,Common
143,213000.0,4,0,1365.0,9317.0,sqft,5,Gleaming
144,133500.0,4,21,664.0,15523.0,sqft,6,Common
145,310000.0,4,7,1938.0,14541.0,sqft,7,Gleaming
146,126000.0,4,16,872.0,8160.0,sqft,6,Common
147,140000.0,4,2,1046.0,13384.0,sqft,5,Common
148,127000.0,4,3,711.0,8540.0,sqft,8,Common
149,153000.0,4,3,1063.0,8750.0,sqft,5,Common
150,182000.0,4,0,1237.0,8453.0,sqft,5,Gleaming
151,308030.0,4,16,1159.0,17484.9755507245,sqft,5,Gleaming
152,255500.0,4,17,1320.0,11146.0,sqft,5,Gleaming
153,212999.0,4,21,1153.0,8760.0,sqft,5,Gleaming
154,75190.0,3,25,839.0,1890.0,sqft,3,Common
155,181000.0,4,0,1276.0,11920.0,sqft,5,Gleaming
156,160000.0,4,13,1856.0,10800.0,sqft,4,Common
158,252000.0,4,26,1510.0,12447.0,sqft,5,Gleaming
160,162900.0,3,20,1209.0,6240.0,sqft,7,Common
161,91500.0,4,16,1119.0,7585.0,sqft,3,Common
162,191000.0,4,22,1965.0,11526.0,sqft,7,Common
163,190000.0,4,5,1164.0,8433.0,sqft,5,Common
165,200000.0,3,12,784.0,3907.0,sqft,5,Common
166,196000.0,4,17,1004.0,5381.0,sqft,5,Gleaming
167,64000.0,3,13,516.0,4800.0,sqft,4,Common
169,149500.0,4,3,759.0,9240.0,sqft,8,Gleaming
170,122000.0,4,3,738.0,9768.0,sqft,5,Common
172,195000.0,4,14,1288.0,7915.0,sqft,5,Gleaming
173,146000.0,4,3,1403.0,12436.0,sqft,5,Common
174,260000.0,0,26,1144.0,4835.0,sqft,5,Gleaming
177,174190.0,4,5,1019.0,11660.0,sqft,5,Gleaming
178,198500.0,4,16,1478.0,7301.0,sqft,5,Gleaming
179,183500.0,4,2,999.0,12150.0,sqft,6,Common
180,171500.0,4,5,1031.0,10176.0,sqft,5,Common
181,154000.0,4,3,958.0,7500.0,sqft,7,Common
182,160000.0,3,13,1543.0,8400.0,sqft,7,Common
184,161000.0,4,2,1137.0,10544.0,sqft,5,Common
185,144100.0,3,13,1269.0,8398.0,sqft,8,Common
186,178000.0,4,5,1208.0,7837.0,sqft,7,Gleaming
187,147000.0,4,2,861.0,8402.0,sqft,5,Common
190,259000.0,4,17,1401.0,14122.0,sqft,5,Gleaming
191,191500.0,4,15,984.0,5005.0,sqft,5,Gleaming
192,132500.0,4,6,746.0,8480.0,sqft,6,Common
193,85000.0,4,16,673.0,6410.0,sqft,5,Common
196,170000.0,4,14,1021.0,16905.0,sqft,6,Common
197,147000.0,4,16,859.0,9638.0,sqft,6,Common
