DI,Craftsmanship,EraConstructed
0,5,1294
1,7,1442
2,5,1052
3,6,1512
4,6,1316
5,9,1713
6,5,1645
7,6,1585
8,8,1733
9,6,1470
10,6,1332
11,7,1784
12,6,1427
13,9,1745
14,5,1366
15,7,1572
16,4,1366
17,5,1198
18,5,1069
19,7,1618
20,6,1097
21,5,1345
22,5,1118
23,4,1161
24,5,1376
25,5,1272
26,5,1046
27,7,1074
28,7,1291
29,4,1304
30,6,1435
31,5,1084
32,7,1699
33,8,1574
34,7,1016
35,10,1429
36,6,1439
37,5,1350
38,7,1794
39,6,1325
40,6,1799
41,5,1048
42,4,1214
43,7,1795
44,7,1629
45,8,931
46,5,1353
47,7,1522
48,10,1666
49,5,1272
50,4,1308
51,5,1285
52,5,1386
53,7,1536
54,8,1726
55,8,1613
56,6,1410
57,6,1066
58,5,1048
59,8,1434
60,6,1334
61,7,1468
62,5,1170
63,8,1757
64,7,1332
65,6,1397
66,7,1746
67,5,1013
68,7,1660
69,5,1217
70,7,1753
71,5,1463
72,3,1103
73,10,1669
74,6,1675
75,7,1141
76,6,1051
77,7,1270
78,4,1237
78,4,1237
79,5,1100
80,7,1649
81,7,1640
82,6,1242
83,9,1763
84,5,1011
85,5,1113
85,5,1113
86,9,1774
87,7,1236
88,6,1481
89,5,1184
90,5,1287
91,8,1555
92,5,1539
93,5,1132
94,7,1293
94,7,1293
95,5,1298
96,6,1578
97,5,1163
98,6,1080
99,9,1778
100,7,1608
101,7,1556
102,5,1306
103,10,1769
104,6,1428
105,6,1367
106,6,1624
107,7,1609
108,6,1334
109,6,1569
110,6,1408
111,5,1588
112,6,1301
113,5,1170
114,7,1211
115,7,1673
116,4,1042
117,7,1038
118,5,1367
119,4,1027
120,7,1727
121,8,1457
122,6,1302
123,7,1546
124,7,1126
125,5,1254
126,7,1019
127,8,1586
128,6,1389
129,6,1490
130,8,1708
131,10,1681
132,6,1356
133,7,1769
134,6,1372
135,7,1785
136,6,1044
137,9,1695
138,7,1132
139,6,1272
140,7,1077
141,7,1774
142,5,1314
143,7,1552
144,5,1397
145,8,1586
146,5,1189
147,5,1242
148,5,1349
149,5,1226
150,6,1547
151,7,1608
152,8,1797
153,8,1678
154,4,1552
155,7,1775
156,5,1010
157,9,1678
158,8,1782
159,5,1420
160,5,1073
161,5,1020
162,6,1086
163,6,1722
164,9,1621
165,8,1478
166,6,1608
167,5,1125
168,9,1742
169,6,1306
170,5,1230
171,8,1643
172,6,1458
173,5,1271
174,7,1651
175,8,1480
176,7,1731
177,6,1629
178,7,1672
179,6,1547
180,7,1571
181,5,1337
182,6,1084
183,8,1750
184,5,1210
185,6,1123
186,6,1441
187,5,1631
188,6,1327
189,10,903
190,8,1687
191,8,1408
192,5,1302
193,4,1295
194,9,1446
195,7,1705
196,5,1265
197,6,1401
198,4,1076
199,5,1377
200,5,1246
201,8,1606
202,5,1390
203,9,1657
204,5,1527
205,6,1608
206,8,1626
207,5,1399
208,4,1395
209,8,1412
210,6,1411
211,7,1503
212,6,1288
213,7,1011
214,4,1172
215,6,1342
216,8,1794
217,6,1739
218,5,1244
219,7,1643
220,7,1696
221,6,1077
222,8,1600
223,8,1776
224,9,1749
225,7,1434
226,7,1755
227,9,1686
228,5,1350
229,5,1142
230,8,1723
231,10,1743
232,7,1108
233,4,1015
234,5,1560
235,6,1516
236,5,1054
237,7,1557
238,5,1391
239,6,1308
240,5,1342
241,6,1238
242,8,1510
243,6,1443
244,6,1054
245,6,1285
246,8,1576
247,6,1095
248,6,1387
249,6,1363
250,9,1624
251,6,1327
252,4,1371
253,6,1286
254,4,1309
255,7,1686
256,5,1068
257,7,1524
258,5,1296
